node_candidate_id,query_id,park_id,park_name,keyword,node_kind,amap_poi_id,node_name,amap_type,address,longitude,latitude,semantic_node_type_draft,route_use_priority_draft,official_entrance_likelihood_draft,visitor_origin_suitability_draft,needs_field_validation,reason_draft,output_status,executor,model,review_gate,llm_task_id,run_id
NODE-CAND-0001,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0G23CCT2E,城市绿心森林公园P6停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(西南角),116.722358,39.867915,parking_access_node,P1_valid_visit_node_candidate,low,high,yes,Parking lot P6 of City Green Heart Forest Park; serves as valid visitor access node but not an official gate.,draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0002,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0G23CCKJN,城市绿心森林公园P5停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(东南角),116.730208,39.867963,parking_access_node,P1_valid_visit_node_candidate,low,high,yes,Parking lot P5 of City Green Heart Forest Park; serves as valid visitor access node but not an official gate.,draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0003,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0G23CDUAT,城市绿心森林公园P7停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(西侧),116.713882,39.872478,parking_access_node,P1_valid_visit_node_candidate,low,high,yes,Parking lot P7 of City Green Heart Forest Park; serves as valid visitor access node but not an official gate.,draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0004,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0G23CEEYJ,城市绿心森林公园P12停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(西侧),116.711564,39.875821,parking_access_node,P1_valid_visit_node_candidate,low,high,yes,Parking lot P12 of City Green Heart Forest Park; serves as valid visitor access node but not an official gate.,draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0005,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0FFK8H5V7,大运河森林公园西1门停车场,交通设施服务;停车场;公共停车场,通怀路与凝翠路交叉口西北240米,116.737773,39.880414,nearby_commercial_or_wrong_match,P3_low_confidence_or_wrong_match,low,low,yes,"Parking lot of Grand Canal Forest Park, not matching the target City Green Heart Forest Park.",draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0006,city_green_heart_south_gate,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园南门,park_gate,B0I64H3DDF,北京大运河博物馆(首都博物馆东馆),科教文化服务;博物馆;博物馆,滨河南路城市绿心森林公园(西北角),116.716660,39.880877,internal_facility_node,P2_context_or_internal_node,low,medium,yes,"Beijing Grand Canal Museum; a cultural facility inside or adjacent to the park, not an official entrance.",draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0007,city_green_heart_south_gate,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园南门,park_gate,B0JBG7OYJC,北京宴(通州大运河店),餐饮服务;中餐厅;中餐厅,北京城区滨河南路城市绿心森林公园西门(P7停车场),116.712720,39.873366,nearby_commercial_or_wrong_match,P3_low_confidence_or_wrong_match,low,low,yes,"Beijing Yan restaurant; a commercial venue, not an official park entrance.",draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0008,city_green_heart_green_heart_road,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园绿心路入口,park_gate_or_road_node,B0GUJBN4ID,城市绿心森林公园,风景名胜;公园广场;公园,张辛庄路与通怀路交叉路口,116.724872,39.873655,park_area_centroid_or_generic,P2_context_or_internal_node,low,medium,yes,Generic park name centroid; not a specific entrance but could serve as a general destination proxy.,draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0009,city_green_heart_green_heart_road,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园绿心路入口,park_gate_or_road_node,B0GKRCC4S1,城市绿心森林公园健身广场,风景名胜;公园广场;城市广场,梧桐路通州城市绿心公园,116.734203,39.861795,internal_facility_node,P2_context_or_internal_node,low,low,yes,名称为健身广场且类型为城市广场，属于公园内部设施，非入口节点,draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
NODE-CAND-0010,city_green_heart_green_heart_road,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园绿心路入口,park_gate_or_road_node,B0G3ZRTUEK,城市绿心森林公园P6停车场(出入口),交通设施服务;停车场;停车场出入口,绿心路与运兴路交叉口东160米,116.722656,39.867596,parking_access_node,P1_valid_visit_node_candidate,low,high,yes,停车场出入口，可作为访问起点但非官方入口,draft,deepseek,deepseek-v4-pro,node_semantic_sampling,LLM-011,20260526T010440Z
