run_id,query_id,park_id,park_name,keyword,node_kind,amap_poi_id,node_name,amap_type,address,longitude,latitude,candidate_rank,candidate_status,notes
20260525T092512Z,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0G23CCT2E,城市绿心森林公园P6停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(西南角),116.722358,39.867915,1,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0G23CCKJN,城市绿心森林公园P5停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(东南角),116.730208,39.867963,2,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0G23CDUAT,城市绿心森林公园P7停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(西侧),116.713882,39.872478,3,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0G23CEEYJ,城市绿心森林公园P12停车场,交通设施服务;停车场;公共停车场,滨河南路城市绿心森林公园(西侧),116.711564,39.875821,4,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,B0FFK8H5V7,大运河森林公园西1门停车场,交通设施服务;停车场;公共停车场,通怀路与凝翠路交叉口西北240米,116.737773,39.880414,5,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_south_gate,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园南门,park_gate,B0I64H3DDF,北京大运河博物馆(首都博物馆东馆),科教文化服务;博物馆;博物馆,滨河南路城市绿心森林公园(西北角),116.716660,39.880877,1,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_south_gate,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园南门,park_gate,B0JBG7OYJC,北京宴(通州大运河店),餐饮服务;中餐厅;中餐厅,北京城区滨河南路城市绿心森林公园西门(P7停车场),116.712720,39.873366,2,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_green_heart_road,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园绿心路入口,park_gate_or_road_node,B0GUJBN4ID,城市绿心森林公园,风景名胜;公园广场;公园,张辛庄路与通怀路交叉路口,116.724872,39.873655,1,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_green_heart_road,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园绿心路入口,park_gate_or_road_node,B0GKRCC4S1,城市绿心森林公园健身广场,风景名胜;公园广场;城市广场,梧桐路通州城市绿心公园,116.734203,39.861795,2,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_green_heart_road,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园绿心路入口,park_gate_or_road_node,B0G3ZRTUEK,城市绿心森林公园P6停车场(出入口),交通设施服务;停车场;停车场出入口,绿心路与运兴路交叉口东160米,116.722656,39.867596,3,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,city_green_heart_green_heart_road,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园绿心路入口,park_gate_or_road_node,B0G231DWY1,城市绿心森林公园儿童游戏场,体育休闲服务;体育休闲服务场所;体育休闲服务场所,城市绿心森林公园(西南角),116.717080,39.867014,4,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,olympic_south_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园南门,park_gate,B000A8XDCI,奥林匹克森林公园南园,风景名胜;风景名胜;国家级景点,北五环辅路奥林匹克森林公园,116.391365,40.016194,1,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,olympic_south_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园南门,park_gate,B0FFFTJYBY,奥林匹克森林公园-南门站,交通设施服务;交通服务相关;交通服务相关,科荟路33号奥林匹克森林公园南园东南角,116.393518,40.011871,2,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,olympic_south_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园南门,park_gate,B0IB2DU19R,奥林匹克森林公园南园南门观光车售票厅,生活服务;售票处;售票处,奥林匹克森林公园南园南门,116.393460,40.011892,3,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,olympic_south_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园南门,park_gate,B0FFFV3PCB,奥林匹克森林公园-西门站,交通设施服务;交通服务相关;交通服务相关,科荟路33号奥林匹克森林公园南园内(西侧),116.383416,40.015242,4,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,olympic_south_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园南门,park_gate,B0FFGLJXC8,奥林匹克森林公园南门东侧地面停车场,交通设施服务;停车场;公共停车场,奥林匹克森林公园南园(东南角),116.395888,40.010289,5,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
20260525T092512Z,olympic_south_west_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园西门,park_gate,B0FFG8Z4TP,奥林匹克森林公园南园西门停车场(出入口),交通设施服务;停车场;停车场出入口,奥林匹克森林公园南园西门停车场,116.375214,40.013604,2,amap_text_candidate_needs_field_validation,高德文本搜索得到的入口/节点候选；可能是门、停车场、场馆或附近访问节点，需现场确认。
