query_id,park_id,park_name,keyword,node_kind,region,page_size
city_green_heart_p11_parking,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园P11停车场,parking_or_visit_node,北京市,5
city_green_heart_south_gate,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园南门,park_gate,北京市,5
city_green_heart_west_gate,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园西门,park_gate,北京市,5
city_green_heart_green_heart_road,sample_city_green_heart,城市绿心森林公园,城市绿心森林公园绿心路入口,park_gate_or_road_node,北京市,5
olympic_south_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园南门,park_gate,北京市,5
olympic_south_west_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园西门,park_gate,北京市,5
olympic_south_east_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园南园东门,park_gate,北京市,5
olympic_north_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园北门,park_gate,北京市,5
olympic_north_east_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园东门,park_gate,北京市,5
olympic_north_south_gate,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园南门,park_gate,北京市,5
olympic_north_sports_park,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园体育园,park_internal_node,北京市,5
olympic_national_tennis_center,sample_olympic_forest,奥林匹克森林公园,国家网球中心,nearby_transit_or_visit_node,北京市,5
