run_id,work_item_id,candidate_id,park_id,park_name,poi_name,node_query_id,node_kind,node_name,node_longitude,node_latitude,destination_longitude,destination_latitude,node_to_poi_straight_distance_m,route_status,route_info,walking_distance_m,walking_duration_s,step_count,route_proxy_status,route_confidence,route_notes
20260525T092512Z,P0-INPARK-001,AMAP-POI-0016,sample_city_green_heart,城市绿心森林公园,梦奥体育,city_green_heart_green_heart_road,park_gate_or_road_node,城市绿心森林公园儿童游戏场,116.717080,39.867014,116.719038,39.868211,213.6,1,ok,576,461,8,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-001,AMAP-POI-0016,sample_city_green_heart,城市绿心森林公园,梦奥体育,city_green_heart_p11_parking,parking_or_visit_node,城市绿心森林公园P6停车场,116.722358,39.867915,116.719038,39.868211,285.2,1,ok,344,275,5,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-001,AMAP-POI-0016,sample_city_green_heart,城市绿心森林公园,梦奥体育,city_green_heart_green_heart_road,park_gate_or_road_node,城市绿心森林公园P6停车场(出入口),116.722656,39.867596,116.719038,39.868211,316.3,1,ok,405,324,5,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-001,AMAP-POI-0016,sample_city_green_heart,城市绿心森林公园,梦奥体育,city_green_heart_p11_parking,parking_or_visit_node,城市绿心森林公园P7停车场,116.713882,39.872478,116.719038,39.868211,647.1,1,ok,809,647,8,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-002,AMAP-POI-0045,sample_olympic_forest,奥林匹克森林公园,特步跑步俱乐部(奥林匹克森林公园店),olympic_south_gate,park_gate,奥林匹克森林公园南园南门观光车售票厅,116.393460,40.011892,116.391624,40.011638,158.9,1,ok,244,195,2,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-002,AMAP-POI-0045,sample_olympic_forest,奥林匹克森林公园,特步跑步俱乐部(奥林匹克森林公园店),olympic_south_gate,park_gate,奥林匹克森林公园-南门站,116.393518,40.011871,116.391624,40.011638,163.4,1,ok,247,198,2,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-002,AMAP-POI-0045,sample_olympic_forest,奥林匹克森林公园,特步跑步俱乐部(奥林匹克森林公园店),olympic_south_gate,park_gate,奥林匹克森林公园南门东侧地面停车场,116.395888,40.010289,116.391624,40.011638,392.9,1,ok,947,758,6,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-002,AMAP-POI-0045,sample_olympic_forest,奥林匹克森林公园,特步跑步俱乐部(奥林匹克森林公园店),olympic_south_gate,park_gate,奥林匹克森林公园南园,116.391365,40.016194,116.391624,40.011638,507.1,1,ok,1312,1050,6,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-003,AMAP-POI-0065,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-商卖,olympic_north_sports_park,park_internal_node,奥林匹克森林公园北园体育园-乒乓球室,116.407834,40.030595,116.407780,40.030533,8.3,1,ok,3,2,1,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-003,AMAP-POI-0065,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-商卖,olympic_north_sports_park,park_internal_node,奥林匹克森林公园北园体育园-气膜羽毛球馆,116.408444,40.030613,116.407780,40.030533,57.2,1,ok,59,47,1,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-003,AMAP-POI-0065,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-商卖,olympic_north_sports_park,park_internal_node,奥林匹克森林公园北园体育园,116.407485,40.031081,116.407780,40.030533,65.9,1,ok,90,72,2,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
20260525T092512Z,P0-INPARK-003,AMAP-POI-0065,sample_olympic_forest,奥林匹克森林公园,奥林匹克森林公园北园-商卖,olympic_north_sports_park,park_internal_node,奥林匹克森林公园北园-体育园地面停车场,116.409384,40.031279,116.407780,40.030533,159.8,1,ok,323,258,4,entrance_or_node_proxy_route_returned_needs_field_validation,medium,入口/节点来自高德文本搜索，不等于官方入口清单；路径可用于 P1 代理核验，仍需现场或官方节点确认。
